"barcode","region","pseudotime","state","pxl_row_in_fullres","pxl_col_in_fullres"
"s_008um_00425_00829-1","mature_2",4.12650672313006,1,32579.3464280565,21589.5509009462
"s_008um_00078_00444-1","mature_20",0.325561777061879,3,21357.759154145,11383.7088843675
"s_008um_00052_00559-1","mature_16",0.248795191561597,3,24726.8675361279,10638.0401870284
"s_008um_00314_00719-1","mature_9",0.28859566314797,3,29374.8226695281,18326.6695445998
"s_008um_00285_00712-1","mature_11",7.16821772049695,2,29173.7991980874,17477.0688509084
"s_008um_00103_00680-1","mature_12",2.79342941953808,2,28261.3649222409,12146.6060568594
"s_008um_00041_00510-1","mature_16",10.0370782582223,2,23294.2525835048,10309.625297369
"s_008um_00134_00517-1","mature_18",3.21248662672482,1,23486.8384935927,13032.2452873412
"s_008um_00078_00679-1","mature_14",3.02631507349152,2,28235.4058839108,11414.8409434808
"s_008um_00488_00817-1","mature_3",3.65957314059014,1,32219.8145155596,23431.60389524
"s_008um_00124_00453-1","mature_18",2.87700685432067,1,21615.0903921925,12731.1163381755
"s_008um_00098_00552-1","mature_16",0.292059601036509,3,24515.9241544789,11983.3257724029
"s_008um_00249_00753-1","mature_25",0.149384533693807,3,30378.4663717106,16428.9605720131
"s_008um_00331_00732-1","mature_9",3.04880688533793,1,29753.0286208819,18825.885861784
"s_008um_00226_00708-1","mature_25",1.63058685881169,3,29064.542845656,15749.9168498359
"s_008um_00083_00682-1","mature_14",5.65248884007022,2,28322.5433127897,11561.5650293908
"s_008um_00146_00688-1","mature_12",10.7007724374751,2,28489.8059946164,13406.0691486105
"s_008um_00079_00565-1","mature_16",0.257743515308457,3,24898.8998330455,11429.0041346192
"s_008um_00326_00699-1","mature_9",0.700169955853978,3,28787.9170255634,18675.2011664702
"s_008um_00065_00682-1","mature_14",3.35368410461571,2,28324.9245974048,11034.788720187
"s_008um_00490_00819-1","mature_3",3.05642138466377,2,32278.0803175479,23490.3958526662
"s_008um_00375_00768-1","mature_6",1.00067555558164,3,30800.7702238371,20118.2797062658
"s_008um_00318_00734-1","mature_9",4.2155953769423,1,29813.2809863603,18445.7108113807
"s_008um_00106_00748-1","mature_13",5.53898594437956,2,30251.068227764,12243.4078902549
"s_008um_00151_00503-1","mature_18",0.169521230179668,3,23074.8611328097,13527.9027934988
"s_008um_00188_00698-1","mature_26",3.78332512238521,2,28776.9104709275,14636.5257893514
"s_008um_00368_00719-1","mature_9",3.23184728275787,2,29367.6761443213,19906.9546735087
"s_008um_00100_00758-1","mature_13",0.191567893196519,3,30544.5235025734,12069.1412452286
"s_008um_00146_00695-1","mature_12",4.20630338661756,2,28694.6692220629,13406.9959076246
"s_008um_00085_00573-1","mature_16",0.246137453835105,3,25132.2395083237,11605.6566863416
"s_008um_00117_00728-1","mature_14",8.1362165270322,2,29664.2898399513,12562.6761267402
"s_008um_00152_00740-1","mature_12",0.27652081831078,3,30010.8500765523,13588.5440260849
"s_008um_00090_00703-1","mature_14",0.297454358961524,3,28936.2085737436,11769.2039145323
"s_008um_00055_00710-1","mature_13",0.223049498496433,3,29145.703790768,10745.8448941437
"s_008um_00133_00493-1","mature_18",10.0033802874174,2,22784.5712499904,12999.8020297672
"s_008um_00186_00703-1","mature_26",3.09182537905861,2,28923.505584532,14578.6575068074
"s_008um_00079_00397-1","mature_22",6.61676692359357,1,19982.0821607419,11406.7480795464
"s_008um_00040_00542-1","mature_16",3.61004355825783,2,24230.9196916311,10284.6003702516
"s_008um_00180_00682-1","mature_12",10.5193495294873,2,28309.7109070015,14400.2880096172
"s_008um_00056_00587-1","mature_12",0.292037286105553,3,25545.8034713725,10758.8124918859
"s_008um_00162_00683-1","mature_12",0.304850123591087,3,28341.3583428102,13873.6490902753
"s_008um_00172_00709-1","mature_26",7.56064554131266,2,29100.9547183256,14169.7413506144
"s_008um_00374_00821-1","mature_1",0.292999378371116,3,32351.9796582896,20096.0177051275
"s_008um_00322_00726-1","mature_9",3.47831476497111,1,29578.6248713674,18561.7116721507
"s_008um_00305_00812-1","mature_1",4.8348469950729,2,32097.730544731,18075.5827777046
"s_008um_00139_00503-1","mature_18",2.05371504918105,3,23076.4455715509,13176.7184662101
"s_008um_00137_00497-1","mature_18",3.43784107359492,2,22901.1097827569,13117.3932629887
"s_008um_00114_00573-1","mature_16",9.87625536441105,2,25128.4075264513,12454.3535066301
"s_008um_00448_00827-1","mature_2",3.87265316614846,1,32517.7681093197,22262.3619113634
"s_008um_00318_00735-1","mature_9",3.16815631796674,1,29842.5468133586,18445.8429994201
"s_008um_00079_00441-1","mature_20",3.23866679195401,2,21269.8266108554,11412.5770757206
"s_008um_00252_00745-1","mature_25",0.373025429456414,3,30143.9420975557,16515.6967137605
"s_008um_00268_00831-1","mature_1",2.95051798165488,2,32658.6803279977,16995.3058323124
"s_008um_00374_00822-1","mature_1",0.314487232550219,3,32381.2451982603,20096.1498252808
"s_008um_00075_00687-1","mature_14",0.219693431086326,3,28469.9331288915,11328.1047357365
"s_008um_00392_00720-1","mature_9",2.20998743742521,3,29393.7656798537,20609.4330312004
"s_008um_00165_00349-1","mature_24",8.87718711362078,2,18565.9285613616,13917.231679502
"s_008um_00031_00408-1","mature_23",9.82724093654384,2,20310.3499914298,10003.4501612965
"s_008um_00069_00671-1","mature_14",0.198994283931942,3,28002.46588957,11150.3928525829
"s_008um_00175_00723-1","mature_26",0.212876989932436,3,29510.2827837915,14259.3894768886
"s_008um_00316_00824-1","mature_1",0.329138713862844,3,32447.4608784054,18399.0787262689
"s_008um_00122_00574-1","mature_16",5.18680994111847,2,25156.6169202566,12688.6087664282
"s_008um_00304_00720-1","mature_9",9.15072316301633,2,29405.4119869806,18034.1554362431
"s_008um_00361_00731-1","mature_9",3.0686518058575,1,29719.792000462,19703.6890107698
"s_008um_00071_00444-1","mature_20",1.19692340084172,3,21358.6828255527,11178.8494488855
"s_008um_00202_00718-1","mature_26",6.76283561194665,2,29360.3791819044,15048.8821035619
"s_008um_00371_00833-1","mature_1",2.8111450181345,2,32703.5634982196,20009.8102082747
"s_008um_00123_00682-1","mature_12",10.3897304951763,2,28317.2515842615,12732.1757181497
"s_008um_00047_00535-1","mature_16",0.363503216267117,3,24025.1282696874,10488.5320096568
"s_008um_00068_00678-1","mature_14",0.223650029484502,3,28207.4624591494,11122.0548862327
